"","status.of.existing.checking.account","duration.in.month","credit.history","purpose","credit.amount","savings.account.and.bonds","present.employment.since","installment.rate.in.percentage.of.disposable.income","personal.status.and.sex","other.debtors.or.guarantors","present.residence.since","property","age.in.years","other.installment.plans","housing","number.of.existing.credits.at.this.bank","job","number.of.people.being.liable.to.provide.maintenance.for","telephone","foreign.worker","creditability"
"229","no checking account",9,"existing credits paid back duly till now","radio/television",1478,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",22,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"230","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",3149,"... < 100 DM","... < 1 year",4,"male : single","none",1,"unknown / no property",22,"bank","for free",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"231","... >= 200 DM / salary assignments for at least 1 year",36,"existing credits paid back duly till now","radio/television",4210,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",26,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"232","no checking account",9,"existing credits paid back duly till now","car (new)",2507,"500 <= ... < 1000 DM","... >= 7 years",2,"male : single","none",4,"unknown / no property",51,"none","for free",1,"unskilled - resident","1","none","yes","good"
"233","no checking account",12,"existing credits paid back duly till now","radio/television",2141,"100 <= ... < 500 DM","4 <= ... < 7 years",3,"male : single","none",1,"unknown / no property",35,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"234","0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",866,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","guarantor",2,"real estate",25,"none","own",1,"unskilled - resident","1","none","yes","good"
"235","no checking account",4,"critical account/ other credits existing (not at this bank)","radio/television",1544,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"real estate",42,"none","own",3,"unskilled - resident","2","none","yes","good"
"236","... < 0 DM",24,"existing credits paid back duly till now","radio/television",1823,"... < 100 DM","unemployed",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",30,"stores","own",1,"OTHER","2","none","yes","bad"
"237","0 <= ... < 200 DM",6,"existing credits paid back duly till now","car (new)",14555,"unknown/ no savings account","unemployed",1,"male : single","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"238","0 <= ... < 200 DM",21,"existing credits paid back duly till now","business",2767,"100 <= ... < 500 DM","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",61,"bank","rent",2,"unskilled - resident","1","none","yes","bad"
"239","no checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",1291,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"building society savings agreement/ life insurance",35,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"240","... < 0 DM",30,"existing credits paid back duly till now","radio/television",2522,"... < 100 DM","... >= 7 years",1,"male : single","guarantor",3,"building society savings agreement/ life insurance",39,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","good"
"241","... < 0 DM",24,"existing credits paid back duly till now","car (new)",915,"unknown/ no savings account","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",29,"bank","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"242","no checking account",6,"existing credits paid back duly till now","radio/television",1595,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",2,"building society savings agreement/ life insurance",51,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","good"
"243","... < 0 DM",48,"no credits taken/ all credits paid back duly","car (used)",4605,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown / no property",24,"none","for free",2,"unskilled - residentskilled employee / official","2","none","yes","bad"
"244","no checking account",12,"critical account/ other credits existing (not at this bank)","business",1185,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",27,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"245","no checking account",12,"all credits at this bank paid back duly","OTHER",3447,"500 <= ... < 1000 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",35,"none","own",1,"unskilled - resident","2","none","yes","good"
"246","no checking account",24,"existing credits paid back duly till now","business",1258,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",1,"real estate",25,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"247","no checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",717,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",52,"none","own",3,"unskilled - residentskilled employee / official","1","none","yes","good"
"248","no checking account",6,"no credits taken/ all credits paid back duly","car (new)",1204,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",1,"unknown / no property",35,"bank","rent",1,"unskilled - residentskilled employee / official","1","none","no","good"
"249","... >= 200 DM / salary assignments for at least 1 year",24,"existing credits paid back duly till now","furniture/equipment",1925,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",26,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"250","no checking account",18,"existing credits paid back duly till now","radio/television",433,"... < 100 DM","unemployed",3,"female : divorced/separated/married","co-applicant",4,"real estate",22,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"251","... < 0 DM",6,"critical account/ other credits existing (not at this bank)","car (new)",666,"... >= 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",4,"real estate",39,"none","own",2,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"252","... >= 200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","furniture/equipment",2251,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",46,"none","own",1,"unskilled - resident","1","none","yes","good"
"253","0 <= ... < 200 DM",30,"existing credits paid back duly till now","car (new)",2150,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"unknown / no property",24,"bank","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"254","no checking account",24,"delay in paying off in the past","furniture/equipment",4151,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"male : single","none",3,"building society savings agreement/ life insurance",35,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"255","0 <= ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",2030,"unknown/ no savings account","4 <= ... < 7 years",2,"male : single","none",1,"car or other, not in attribute Savings account/bonds",24,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"256","0 <= ... < 200 DM",60,"delay in paying off in the past","radio/television",7418,"unknown/ no savings account","1 <= ... < 4 years",1,"male : single","none",1,"real estate",27,"none","own",1,"unskilled - resident","1","none","yes","good"
"257","no checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2684,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",35,"none","own",2,"unskilled - resident","1","none","yes","good"
"258","... < 0 DM",12,"all credits at this bank paid back duly","radio/television",2149,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"unknown / no property",29,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"259","no checking account",15,"existing credits paid back duly till now","car (used)",3812,"100 <= ... < 500 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",23,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"260","no checking account",11,"critical account/ other credits existing (not at this bank)","radio/television",1154,"100 <= ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident","1","none","yes","good"
"261","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1657,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"real estate",27,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"262","... < 0 DM",24,"existing credits paid back duly till now","radio/television",1603,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",55,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"263","... < 0 DM",18,"critical account/ other credits existing (not at this bank)","car (new)",5302,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"unknown / no property",36,"none","for free",3,"OTHER","1","yes, registered under the customers name","yes","good"
"264","no checking account",12,"critical account/ other credits existing (not at this bank)","education",2748,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",57,"bank","for free",3,"unskilled - resident","1","none","yes","good"
"265","no checking account",10,"critical account/ other credits existing (not at this bank)","car (new)",1231,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"real estate",32,"none","own",2,"unskilled - resident","2","none","no","good"
"266","0 <= ... < 200 DM",15,"existing credits paid back duly till now","radio/television",802,"... < 100 DM","... >= 7 years",4,"male : single","none",3,"car or other, not in attribute Savings account/bonds",37,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","bad"
"267","no checking account",36,"critical account/ other credits existing (not at this bank)","business",6304,"unknown/ no savings account","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"268","no checking account",24,"existing credits paid back duly till now","radio/television",1533,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"car or other, not in attribute Savings account/bonds",38,"stores","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"269","... < 0 DM",14,"existing credits paid back duly till now","car (new)",8978,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",45,"none","own",1,"OTHER","1","yes, registered under the customers name","no","bad"
"270","no checking account",24,"existing credits paid back duly till now","radio/television",999,"unknown/ no savings account","... >= 7 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",25,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"271","no checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown/ no savings account","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"unskilled - residentskilled employee / official","1","none","no","good"
"272","no checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1402,"500 <= ... < 1000 DM","4 <= ... < 7 years",3,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",37,"none","rent",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"273","0 <= ... < 200 DM",48,"all credits at this bank paid back duly","car (new)",12169,"unknown/ no savings account","unemployed",4,"male : single","co-applicant",4,"unknown / no property",36,"none","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"274","0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",3060,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"real estate",28,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"275","... < 0 DM",30,"existing credits paid back duly till now","OTHER",11998,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"unknown / no property",34,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","bad"
"276","no checking account",9,"existing credits paid back duly till now","radio/television",2697,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",2,"real estate",32,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","good"
"277","no checking account",18,"critical account/ other credits existing (not at this bank)","radio/television",2404,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",26,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"278","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1262,"unknown/ no savings account","... >= 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",49,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"279","no checking account",6,"existing credits paid back duly till now","furniture/equipment",4611,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",32,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"280","no checking account",24,"existing credits paid back duly till now","radio/television",1901,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",29,"none","rent",1,"OTHER","1","yes, registered under the customers name","yes","good"
"281","no checking account",15,"critical account/ other credits existing (not at this bank)","car (used)",3368,"... >= 1000 DM","... >= 7 years",3,"male : single","none",4,"unknown / no property",23,"none","rent",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"282","no checking account",12,"existing credits paid back duly till now","furniture/equipment",1574,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"real estate",50,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"283","... >= 200 DM / salary assignments for at least 1 year",18,"all credits at this bank paid back duly","radio/television",1445,"unknown/ no savings account","4 <= ... < 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",49,"bank","own",1,"unskilled - resident","1","none","yes","good"
"284","no checking account",15,"critical account/ other credits existing (not at this bank)","furniture/equipment",1520,"unknown/ no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/ life insurance",63,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"285","0 <= ... < 200 DM",24,"critical account/ other credits existing (not at this bank)","car (new)",3878,"100 <= ... < 500 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",37,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"286","... < 0 DM",47,"existing credits paid back duly till now","car (new)",10722,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"287","... < 0 DM",48,"existing credits paid back duly till now","car (used)",4788,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"building society savings agreement/ life insurance",26,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","good"
"288","0 <= ... < 200 DM",48,"delay in paying off in the past","OTHER",7582,"100 <= ... < 500 DM","unemployed",2,"male : single","none",4,"unknown / no property",31,"none","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"289","0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1092,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"290","... < 0 DM",24,"delay in paying off in the past","radio/television",1024,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",4,"real estate",48,"stores","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"291","no checking account",12,"existing credits paid back duly till now","business",1076,"... < 100 DM","1 <= ... < 4 years",2,"male : married/widowed","none",2,"real estate",26,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","no","good"
"292","0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (used)",9398,"... < 100 DM","... < 1 year",1,"male : married/widowed","none",4,"car or other, not in attribute Savings account/bonds",28,"none","rent",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"293","... < 0 DM",24,"critical account/ other credits existing (not at this bank)","car (used)",6419,"... < 100 DM","... >= 7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",44,"none","for free",2,"OTHER","2","yes, registered under the customers name","yes","good"
"294","... >= 200 DM / salary assignments for at least 1 year",42,"critical account/ other credits existing (not at this bank)","car (used)",4796,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown / no property",56,"none","for free",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"295","no checking account",48,"critical account/ other credits existing (not at this bank)","business",7629,"unknown/ no savings account","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",46,"bank","own",2,"OTHER","2","none","yes","good"
"296","0 <= ... < 200 DM",48,"existing credits paid back duly till now","furniture/equipment",9960,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",26,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"297","no checking account",12,"existing credits paid back duly till now","car (used)",4675,"unknown/ no savings account","... < 1 year",1,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",20,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"298","no checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown/ no savings account","... >= 7 years",4,"male : single","co-applicant",2,"building society savings agreement/ life insurance",45,"none","own",1,"unskilled - resident","1","none","no","good"
"299","no checking account",18,"existing credits paid back duly till now","furniture/equipment",2515,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",4,"real estate",43,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"300","0 <= ... < 200 DM",21,"critical account/ other credits existing (not at this bank)","furniture/equipment",2745,"... >= 1000 DM","4 <= ... < 7 years",3,"male : single","none",2,"car or other, not in attribute Savings account/bonds",32,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"301","no checking account",6,"existing credits paid back duly till now","car (new)",672,"... < 100 DM","unemployed",1,"female : divorced/separated/married","none",4,"real estate",54,"none","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
"302","0 <= ... < 200 DM",36,"no credits taken/ all credits paid back duly","radio/television",3804,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",1,"car or other, not in attribute Savings account/bonds",42,"none","own",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","bad"
"303","... >= 200 DM / salary assignments for at least 1 year",24,"critical account/ other credits existing (not at this bank)","car (new)",1344,"unknown/ no savings account","4 <= ... < 7 years",4,"male : single","none",2,"real estate",37,"bank","own",2,"unskilled - resident","2","none","yes","bad"
"304","... < 0 DM",10,"critical account/ other credits existing (not at this bank)","car (new)",1038,"... < 100 DM","4 <= ... < 7 years",4,"male : single","co-applicant",3,"building society savings agreement/ life insurance",49,"none","own",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"305","no checking account",48,"critical account/ other credits existing (not at this bank)","car (new)",10127,"500 <= ... < 1000 DM","1 <= ... < 4 years",2,"male : single","none",2,"unknown / no property",44,"bank","for free",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"306","no checking account",6,"existing credits paid back duly till now","furniture/equipment",1543,"... >= 1000 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",33,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"307","no checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown/ no savings account","4 <= ... < 7 years",2,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",24,"stores","rent",1,"unskilled - resident","1","none","yes","good"
"308","... < 0 DM",12,"existing credits paid back duly till now","radio/television",727,"100 <= ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"unknown / no property",33,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","bad"
"309","0 <= ... < 200 DM",8,"existing credits paid back duly till now","furniture/equipment",1237,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",4,"real estate",24,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"310","0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",276,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident","1","none","yes","good"
"311","0 <= ... < 200 DM",48,"existing credits paid back duly till now","OTHER",5381,"unknown/ no savings account","unemployed",3,"male : single","none",4,"unknown / no property",40,"bank","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"312","no checking account",24,"existing credits paid back duly till now","furniture/equipment",5511,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",1,"car or other, not in attribute Savings account/bonds",25,"stores","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"313","... >= 200 DM / salary assignments for at least 1 year",24,"existing credits paid back duly till now","furniture/equipment",3749,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",26,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"314","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",685,"... < 100 DM","4 <= ... < 7 years",2,"male : married/widowed","none",3,"car or other, not in attribute Savings account/bonds",25,"bank","own",1,"unskilled - resident","1","none","yes","bad"
"315","... >= 200 DM / salary assignments for at least 1 year",4,"existing credits paid back duly till now","car (new)",1494,"unknown/ no savings account","... < 1 year",1,"male : single","none",2,"real estate",29,"none","own",1,"unskilled - resident","2","none","no","good"
"316","... < 0 DM",36,"all credits at this bank paid back duly","furniture/equipment",2746,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",31,"bank","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"317","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",708,"... < 100 DM","1 <= ... < 4 years",2,"male : single","guarantor",3,"building society savings agreement/ life insurance",38,"none","own",1,"unskilled - resident","2","none","yes","good"
"318","0 <= ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",4351,"unknown/ no savings account","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",48,"none","own",1,"unskilled - resident","1","yes, registered under the customers name","yes","good"
"319","no checking account",12,"critical account/ other credits existing (not at this bank)","education",701,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",32,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"320","... < 0 DM",15,"delay in paying off in the past","furniture/equipment",3643,"... < 100 DM","... >= 7 years",1,"female : divorced/separated/married","none",4,"building society savings agreement/ life insurance",27,"none","own",2,"unskilled - resident","1","none","yes","good"
"321","0 <= ... < 200 DM",30,"critical account/ other credits existing (not at this bank)","car (new)",4249,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"car or other, not in attribute Savings account/bonds",28,"none","own",2,"OTHER","1","none","yes","bad"
"322","... < 0 DM",24,"existing credits paid back duly till now","radio/television",1938,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"building society savings agreement/ life insurance",32,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"323","... < 0 DM",24,"existing credits paid back duly till now","car (used)",2910,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",1,"unknown / no property",34,"none","for free",1,"OTHER","1","yes, registered under the customers name","yes","good"
"324","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2659,"... >= 1000 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",28,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"325","no checking account",18,"critical account/ other credits existing (not at this bank)","car (new)",1028,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",36,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","good"
"326","... < 0 DM",8,"critical account/ other credits existing (not at this bank)","car (new)",3398,"... < 100 DM","4 <= ... < 7 years",1,"male : single","none",4,"real estate",39,"none","own",2,"unskilled - resident","1","none","no","good"
"327","no checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",5801,"unknown/ no savings account","... >= 7 years",2,"male : single","none",4,"building society savings agreement/ life insurance",49,"none","rent",1,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"328","no checking account",24,"existing credits paid back duly till now","car (new)",1525,"... >= 1000 DM","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other, not in attribute Savings account/bonds",34,"none","own",1,"unskilled - residentskilled employee / official","2","yes, registered under the customers name","yes","good"
"329","... >= 200 DM / salary assignments for at least 1 year",36,"existing credits paid back duly till now","radio/television",4473,"... < 100 DM","... >= 7 years",4,"male : single","none",2,"car or other, not in attribute Savings account/bonds",31,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"330","0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",1068,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"car or other, not in attribute Savings account/bonds",28,"none","own",1,"unskilled - residentskilled employee / official","2","none","yes","good"
"331","... < 0 DM",24,"critical account/ other credits existing (not at this bank)","car (used)",6615,"... < 100 DM","unemployed",2,"male : single","none",4,"unknown / no property",75,"none","for free",2,"OTHER","1","yes, registered under the customers name","yes","good"
"332","no checking account",18,"critical account/ other credits existing (not at this bank)","education",1864,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",30,"none","own",2,"unskilled - residentskilled employee / official","1","none","yes","bad"
"333","0 <= ... < 200 DM",60,"existing credits paid back duly till now","car (new)",7408,"100 <= ... < 500 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"building society savings agreement/ life insurance",24,"none","own",1,"OTHER","1","none","yes","bad"
"334","no checking account",48,"critical account/ other credits existing (not at this bank)","car (used)",11590,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",24,"bank","rent",2,"unskilled - resident","1","none","yes","bad"
"335","... < 0 DM",24,"no credits taken/ all credits paid back duly","furniture/equipment",4110,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown / no property",23,"bank","rent",2,"unskilled - residentskilled employee / official","2","none","yes","bad"
"336","... < 0 DM",6,"critical account/ other credits existing (not at this bank)","furniture/equipment",3384,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"real estate",44,"none","rent",1,"OTHER","1","yes, registered under the customers name","yes","bad"
"337","0 <= ... < 200 DM",13,"existing credits paid back duly till now","radio/television",2101,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","guarantor",4,"building society savings agreement/ life insurance",23,"none","own",1,"unskilled - resident","1","none","yes","good"
"338","... < 0 DM",15,"existing credits paid back duly till now","OTHER",1275,"unknown/ no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",24,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","bad"
"339","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",4169,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"building society savings agreement/ life insurance",28,"none","own",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"340","0 <= ... < 200 DM",10,"existing credits paid back duly till now","furniture/equipment",1521,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"car or other, not in attribute Savings account/bonds",31,"none","own",1,"unskilled - resident","1","none","yes","good"
"341","0 <= ... < 200 DM",24,"critical account/ other credits existing (not at this bank)","education",5743,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"unknown / no property",24,"none","for free",2,"unskilled - residentskilled employee / official","1","yes, registered under the customers name","yes","good"
"342","... < 0 DM",21,"existing credits paid back duly till now","furniture/equipment",3599,"... < 100 DM","4 <= ... < 7 years",1,"female : divorced/separated/married","none",4,"car or other, not in attribute Savings account/bonds",26,"none","rent",1,"unskilled - resident","1","none","yes","good"
"343","0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",3213,"500 <= ... < 1000 DM","... < 1 year",1,"male : married/widowed","none",3,"real estate",25,"none","rent",1,"unskilled - residentskilled employee / official","1","none","yes","good"
"344","0 <= ... < 200 DM",18,"existing credits paid back duly till now","business",4439,"... < 100 DM","... >= 7 years",1,"male : single","co-applicant",1,"real estate",33,"bank","own",1,"OTHER","1","yes, registered under the customers name","yes","good"
