,status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,creditability
190,NA,18,no credits taken/ all credits paid back duly,NA,3244,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,NA,4,"car or other, not in attribute Savings account/bonds",33,NA,NA,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
191,no checking account,24,existing credits paid back duly till now,business,NA,NA,1 <= ... < 4 years,2,male : single,NA,3,NA,54,none,own,3,NA,1,"yes, registered under the customers name",yes,bad
192,0 <= ... < 200 DM,48,NA,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,NA,male : single,NA,NA,unknown / no property,34,none,NA,1,unskilled - resident,2,none,NA,bad
193,0 <= ... < 200 DM,27,existing credits paid back duly till now,NA,3915,... < 100 DM,1 <= ... < 4 years,4,male : single,NA,NA,"car or other, not in attribute Savings account/bonds",36,none,own,NA,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,bad
194,NA,6,existing credits paid back duly till now,NA,2108,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,NA,2,real estate,29,NA,rent,NA,unskilled - residentskilled employee / official,NA,none,yes,good
195,0 <= ... < 200 DM,45,existing credits paid back duly till now,radio/television,3031,100 <= ... < 500 DM,NA,4,male : single,guarantor,4,building society savings agreement/ life insurance,21,none,rent,1,unskilled - residentskilled employee / official,1,none,NA,bad
196,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),education,1501,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,NA,3,NA,34,none,own,2,OTHER,1,NA,NA,bad
197,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,NA,... < 100 DM,NA,1,NA,none,1,NA,28,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
198,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,951,100 <= ... < 500 DM,NA,4,female : divorced/separated/married,NA,4,"car or other, not in attribute Savings account/bonds",27,bank,rent,4,unskilled - residentskilled employee / official,1,none,yes,bad
199,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,36,bank,NA,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
200,0 <= ... < 200 DM,NA,NA,furniture/equipment,4297,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,NA,3,unknown / no property,40,none,own,1,OTHER,1,NA,yes,bad
201,no checking account,9,critical account/ other credits existing (not at this bank),education,936,500 <= ... < 1000 DM,... >= 7 years,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",NA,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
202,... < 0 DM,12,NA,car (new),1168,... < 100 DM,1 <= ... < 4 years,NA,NA,none,3,real estate,NA,none,NA,1,unskilled - resident,1,none,NA,good
203,no checking account,27,delay in paying off in the past,NA,5117,... < 100 DM,4 <= ... < 7 years,3,NA,none,4,"car or other, not in attribute Savings account/bonds",26,none,own,2,unskilled - residentskilled employee / official,1,none,NA,good
204,NA,12,existing credits paid back duly till now,OTHER,902,... < 100 DM,4 <= ... < 7 years,4,NA,none,4,building society savings agreement/ life insurance,21,none,rent,1,unskilled - residentskilled employee / official,1,none,NA,bad
205,no checking account,12,critical account/ other credits existing (not at this bank),car (new),1495,... < 100 DM,... >= 7 years,4,male : single,none,1,real estate,38,none,own,2,unskilled - resident,2,NA,yes,good
206,... < 0 DM,30,NA,car (used),10623,... < 100 DM,NA,3,male : single,none,4,unknown / no property,38,none,NA,3,OTHER,2,"yes, registered under the customers name",yes,good
207,no checking account,NA,critical account/ other credits existing (not at this bank),NA,1935,NA,... >= 7 years,4,male : single,none,4,NA,NA,none,own,3,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
208,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),OTHER,1424,... < 100 DM,NA,4,male : single,none,3,building society savings agreement/ life insurance,26,none,NA,1,unskilled - residentskilled employee / official,1,NA,yes,good
209,NA,NA,NA,business,6568,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",21,NA,NA,1,unskilled - resident,NA,none,NA,good
210,no checking account,12,existing credits paid back duly till now,car (used),1413,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,NA,building society savings agreement/ life insurance,55,none,own,1,unskilled - residentskilled employee / official,1,none,NA,good
211,NA,9,critical account/ other credits existing (not at this bank),radio/television,3074,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,2,real estate,33,NA,own,2,unskilled - residentskilled employee / official,NA,none,yes,good
212,no checking account,NA,existing credits paid back duly till now,radio/television,3835,unknown/ no savings account,... >= 7 years,2,NA,none,4,NA,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
213,... < 0 DM,NA,no credits taken/ all credits paid back duly,NA,NA,... < 100 DM,NA,2,NA,none,4,building society savings agreement/ life insurance,NA,NA,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,bad
214,... >= 200 DM / salary assignments for at least 1 year,30,delay in paying off in the past,business,1908,... < 100 DM,... >= 7 years,NA,male : single,none,NA,real estate,66,none,own,1,NA,NA,"yes, registered under the customers name",yes,bad
215,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,NA,unknown/ no savings account,... >= 7 years,NA,male : single,none,2,NA,51,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
216,0 <= ... < 200 DM,NA,critical account/ other credits existing (not at this bank),OTHER,932,unknown/ no savings account,NA,NA,female : divorced/separated/married,NA,3,building society savings agreement/ life insurance,39,NA,own,2,unskilled - resident,1,none,yes,good
217,... < 0 DM,18,no credits taken/ all credits paid back duly,business,3104,... < 100 DM,4 <= ... < 7 years,3,male : single,NA,1,building society savings agreement/ life insurance,31,bank,own,1,NA,1,"yes, registered under the customers name",yes,good
218,... >= 200 DM / salary assignments for at least 1 year,36,NA,radio/television,3913,... < 100 DM,1 <= ... < 4 years,NA,male : single,NA,2,real estate,23,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
219,NA,24,existing credits paid back duly till now,furniture/equipment,3021,... < 100 DM,NA,2,NA,none,2,real estate,NA,none,rent,1,unskilled - resident,1,none,yes,good
220,no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,NA,2,female : divorced/separated/married,none,4,NA,64,none,NA,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
221,0 <= ... < 200 DM,12,NA,NA,625,... < 100 DM,... < 1 year,4,male : married/widowed,guarantor,1,real estate,26,NA,own,1,unskilled - resident,NA,none,yes,good
222,... < 0 DM,12,existing credits paid back duly till now,education,NA,unknown/ no savings account,NA,4,female : divorced/separated/married,NA,NA,NA,23,bank,rent,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
223,no checking account,NA,NA,radio/television,707,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,own,2,unskilled - residentskilled employee / official,NA,NA,yes,good
224,no checking account,24,delay in paying off in the past,business,2978,unknown/ no savings account,1 <= ... < 4 years,NA,male : single,none,4,real estate,32,NA,own,2,unskilled - residentskilled employee / official,2,"yes, registered under the customers name",yes,good
225,no checking account,15,existing credits paid back duly till now,car (used),4657,... < 100 DM,1 <= ... < 4 years,3,male : single,NA,2,NA,30,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
226,no checking account,NA,no credits taken/ all credits paid back duly,OTHER,NA,... < 100 DM,1 <= ... < 4 years,NA,male : single,none,2,NA,27,none,NA,2,NA,1,NA,yes,good
227,0 <= ... < 200 DM,NA,existing credits paid back duly till now,radio/television,10961,... >= 1000 DM,4 <= ... < 7 years,NA,male : single,co-applicant,2,unknown / no property,27,bank,own,2,NA,1,NA,yes,bad
228,NA,12,NA,NA,NA,NA,... >= 7 years,4,NA,NA,NA,unknown / no property,53,none,for free,NA,OTHER,1,NA,yes,bad
229,NA,9,existing credits paid back duly till now,radio/television,NA,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",22,none,own,1,unskilled - residentskilled employee / official,1,none,NA,bad
230,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3149,... < 100 DM,NA,NA,male : single,none,1,unknown / no property,22,bank,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
231,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,4210,... < 100 DM,1 <= ... < 4 years,4,male : single,NA,2,NA,26,NA,own,1,unskilled - residentskilled employee / official,1,NA,yes,bad
232,no checking account,9,NA,NA,2507,NA,... >= 7 years,2,male : single,NA,4,unknown / no property,51,NA,for free,NA,unskilled - resident,1,none,yes,good
233,NA,12,NA,radio/television,NA,100 <= ... < 500 DM,4 <= ... < 7 years,3,male : single,none,1,unknown / no property,35,none,own,1,unskilled - residentskilled employee / official,NA,NA,yes,good
234,NA,NA,existing credits paid back duly till now,radio/television,866,... < 100 DM,NA,4,male : married/widowed,guarantor,NA,real estate,25,none,own,1,unskilled - resident,1,none,NA,good
235,no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1544,... < 100 DM,NA,2,male : single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,good
236,... < 0 DM,NA,existing credits paid back duly till now,NA,1823,... < 100 DM,unemployed,NA,male : single,none,2,"car or other, not in attribute Savings account/bonds",30,stores,own,1,NA,2,none,yes,bad
237,NA,6,existing credits paid back duly till now,car (new),14555,NA,unemployed,1,male : single,none,2,building society savings agreement/ life insurance,NA,NA,own,NA,OTHER,NA,"yes, registered under the customers name",NA,bad
238,NA,21,NA,business,2767,100 <= ... < 500 DM,... >= 7 years,4,female : divorced/separated/married,none,2,NA,61,NA,NA,2,unskilled - resident,NA,none,yes,bad
239,no checking account,12,NA,radio/television,1291,... < 100 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,NA,NA,building society savings agreement/ life insurance,35,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
240,... < 0 DM,30,existing credits paid back duly till now,NA,2522,... < 100 DM,... >= 7 years,1,male : single,guarantor,NA,building society savings agreement/ life insurance,39,NA,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
241,... < 0 DM,24,existing credits paid back duly till now,car (new),915,unknown/ no savings account,... >= 7 years,4,NA,none,2,NA,29,bank,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
242,no checking account,6,NA,radio/television,1595,... < 100 DM,4 <= ... < 7 years,3,male : single,none,NA,NA,51,none,own,1,NA,2,NA,NA,good
243,... < 0 DM,48,no credits taken/ all credits paid back duly,car (used),4605,... < 100 DM,... >= 7 years,3,male : single,NA,NA,unknown / no property,24,none,for free,2,unskilled - residentskilled employee / official,2,NA,yes,bad
244,no checking account,NA,critical account/ other credits existing (not at this bank),business,1185,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,27,NA,own,2,unskilled - residentskilled employee / official,1,none,yes,good
245,no checking account,12,all credits at this bank paid back duly,NA,3447,NA,NA,4,NA,none,3,NA,35,none,own,1,unskilled - resident,2,none,yes,good
246,no checking account,24,NA,business,1258,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,real estate,NA,none,own,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
247,no checking account,NA,critical account/ other credits existing (not at this bank),NA,717,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,52,none,own,3,unskilled - residentskilled employee / official,1,none,yes,good
248,no checking account,6,no credits taken/ all credits paid back duly,car (new),1204,100 <= ... < 500 DM,NA,4,male : single,none,1,NA,NA,bank,rent,1,unskilled - residentskilled employee / official,1,none,no,good
249,... >= 200 DM / salary assignments for at least 1 year,24,NA,furniture/equipment,1925,NA,NA,NA,male : single,none,2,real estate,NA,none,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
250,no checking account,18,existing credits paid back duly till now,radio/television,433,... < 100 DM,unemployed,3,female : divorced/separated/married,co-applicant,4,real estate,22,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
251,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),666,... >= 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,39,NA,own,2,NA,1,"yes, registered under the customers name",yes,good
252,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,furniture/equipment,2251,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,NA,NA,46,none,own,1,unskilled - resident,NA,none,yes,good
253,0 <= ... < 200 DM,30,existing credits paid back duly till now,car (new),2150,NA,1 <= ... < 4 years,4,NA,guarantor,2,NA,24,bank,NA,NA,unskilled - residentskilled employee / official,1,none,yes,bad
254,no checking account,24,NA,furniture/equipment,4151,100 <= ... < 500 DM,1 <= ... < 4 years,2,male : single,none,NA,building society savings agreement/ life insurance,35,NA,NA,2,unskilled - residentskilled employee / official,1,NA,NA,good
255,NA,9,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,4 <= ... < 7 years,NA,male : single,none,1,"car or other, not in attribute Savings account/bonds",24,none,own,1,unskilled - residentskilled employee / official,NA,NA,NA,good
256,0 <= ... < 200 DM,60,delay in paying off in the past,radio/television,7418,unknown/ no savings account,1 <= ... < 4 years,1,male : single,none,NA,NA,27,NA,own,NA,unskilled - resident,NA,none,yes,good
257,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2684,NA,1 <= ... < 4 years,4,NA,none,2,real estate,NA,none,own,2,unskilled - resident,1,none,yes,good
258,... < 0 DM,12,all credits at this bank paid back duly,radio/television,2149,NA,1 <= ... < 4 years,4,female : divorced/separated/married,none,NA,unknown / no property,NA,none,for free,NA,unskilled - residentskilled employee / official,1,NA,NA,bad
259,no checking account,15,NA,car (used),3812,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,NA,NA,NA,23,none,own,1,unskilled - residentskilled employee / official,NA,NA,yes,good
260,no checking account,11,critical account/ other credits existing (not at this bank),NA,1154,NA,unemployed,4,female : divorced/separated/married,NA,4,real estate,57,none,own,NA,unskilled - resident,1,none,yes,good
261,... < 0 DM,12,existing credits paid back duly till now,NA,1657,... < 100 DM,1 <= ... < 4 years,2,male : single,NA,2,real estate,27,none,own,1,NA,1,none,yes,good
262,... < 0 DM,24,existing credits paid back duly till now,radio/television,1603,... < 100 DM,NA,4,female : divorced/separated/married,none,NA,NA,55,none,NA,1,unskilled - residentskilled employee / official,1,none,NA,good
263,... < 0 DM,NA,critical account/ other credits existing (not at this bank),car (new),5302,... < 100 DM,... >= 7 years,2,male : single,none,4,NA,36,NA,for free,3,NA,1,"yes, registered under the customers name",NA,good
264,no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,2,NA,none,4,NA,NA,bank,for free,NA,unskilled - resident,NA,none,yes,good
265,no checking account,10,critical account/ other credits existing (not at this bank),car (new),1231,... < 100 DM,... >= 7 years,3,male : single,NA,4,real estate,32,none,NA,2,unskilled - resident,2,none,no,good
266,NA,NA,NA,radio/television,802,NA,NA,4,NA,NA,NA,NA,37,none,own,1,unskilled - residentskilled employee / official,NA,none,NA,bad
267,no checking account,36,critical account/ other credits existing (not at this bank),business,6304,unknown/ no savings account,... >= 7 years,NA,male : single,none,4,real estate,NA,none,own,2,unskilled - residentskilled employee / official,NA,NA,yes,good
268,no checking account,24,existing credits paid back duly till now,NA,1533,NA,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",38,stores,NA,1,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
269,... < 0 DM,14,existing credits paid back duly till now,NA,8978,NA,... >= 7 years,1,female : divorced/separated/married,NA,NA,building society savings agreement/ life insurance,45,NA,own,1,OTHER,NA,"yes, registered under the customers name",no,bad
270,no checking account,24,existing credits paid back duly till now,radio/television,999,unknown/ no savings account,... >= 7 years,4,male : single,none,2,"car or other, not in attribute Savings account/bonds",25,none,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
271,no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,NA,building society savings agreement/ life insurance,32,none,own,1,unskilled - residentskilled employee / official,1,none,no,good
272,no checking account,12,NA,furniture/equipment,1402,NA,NA,3,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",NA,none,rent,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,good
273,NA,NA,NA,car (new),NA,unknown/ no savings account,NA,NA,male : single,co-applicant,4,unknown / no property,36,none,for free,1,OTHER,1,"yes, registered under the customers name",yes,good
274,0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,NA,real estate,NA,none,NA,2,NA,1,none,yes,bad
275,... < 0 DM,NA,existing credits paid back duly till now,OTHER,11998,... < 100 DM,... < 1 year,1,NA,none,1,unknown / no property,34,none,own,NA,unskilled - resident,1,"yes, registered under the customers name",NA,bad
276,no checking account,9,NA,radio/television,2697,... < 100 DM,1 <= ... < 4 years,NA,male : single,NA,NA,real estate,32,NA,own,1,unskilled - residentskilled employee / official,NA,none,yes,good
277,no checking account,18,critical account/ other credits existing (not at this bank),NA,2404,... < 100 DM,1 <= ... < 4 years,2,NA,none,NA,"car or other, not in attribute Savings account/bonds",26,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
278,... < 0 DM,12,NA,furniture/equipment,1262,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",NA,good
279,no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,NA,4,building society savings agreement/ life insurance,32,NA,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
280,no checking account,24,existing credits paid back duly till now,radio/television,NA,NA,1 <= ... < 4 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",29,NA,rent,1,OTHER,NA,"yes, registered under the customers name",yes,good
281,no checking account,15,NA,car (used),3368,... >= 1000 DM,... >= 7 years,3,NA,NA,4,unknown / no property,23,none,rent,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
282,no checking account,NA,NA,furniture/equipment,1574,... < 100 DM,NA,4,male : single,none,2,real estate,50,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,good
283,NA,18,all credits at this bank paid back duly,radio/television,1445,unknown/ no savings account,4 <= ... < 7 years,NA,male : single,none,4,"car or other, not in attribute Savings account/bonds",NA,bank,NA,1,unskilled - resident,1,none,yes,good
284,no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,NA,NA,... >= 7 years,4,NA,none,4,building society savings agreement/ life insurance,63,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
285,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),NA,NA,NA,4,female : divorced/separated/married,NA,2,"car or other, not in attribute Savings account/bonds",37,none,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
286,... < 0 DM,47,existing credits paid back duly till now,NA,10722,... < 100 DM,... < 1 year,1,NA,NA,1,real estate,35,NA,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
287,... < 0 DM,48,existing credits paid back duly till now,car (used),4788,NA,4 <= ... < 7 years,NA,male : single,NA,3,building society savings agreement/ life insurance,NA,none,own,1,unskilled - residentskilled employee / official,2,none,NA,good
288,0 <= ... < 200 DM,48,delay in paying off in the past,OTHER,NA,100 <= ... < 500 DM,unemployed,2,male : single,none,4,NA,NA,none,for free,1,OTHER,1,"yes, registered under the customers name",yes,good
289,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1092,NA,1 <= ... < 4 years,4,NA,guarantor,4,NA,49,NA,own,2,unskilled - residentskilled employee / official,NA,NA,yes,good
290,NA,24,delay in paying off in the past,radio/television,1024,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
291,NA,12,existing credits paid back duly till now,business,1076,NA,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,unskilled - residentskilled employee / official,1,NA,no,good
292,0 <= ... < 200 DM,36,existing credits paid back duly till now,NA,9398,NA,... < 1 year,1,NA,NA,4,"car or other, not in attribute Savings account/bonds",28,none,rent,1,OTHER,NA,"yes, registered under the customers name",yes,bad
293,... < 0 DM,24,critical account/ other credits existing (not at this bank),car (used),NA,... < 100 DM,... >= 7 years,2,NA,none,NA,NA,44,NA,for free,2,OTHER,2,"yes, registered under the customers name",yes,good
294,... >= 200 DM / salary assignments for at least 1 year,42,NA,car (used),4796,... < 100 DM,... >= 7 years,4,NA,none,4,unknown / no property,NA,none,for free,NA,unskilled - residentskilled employee / official,NA,none,yes,good
295,no checking account,48,critical account/ other credits existing (not at this bank),business,7629,NA,... >= 7 years,NA,female : divorced/separated/married,none,NA,"car or other, not in attribute Savings account/bonds",46,bank,NA,2,OTHER,NA,none,yes,good
296,0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,9960,... < 100 DM,... < 1 year,NA,female : divorced/separated/married,none,2,"car or other, not in attribute Savings account/bonds",26,none,own,1,unskilled - residentskilled employee / official,NA,"yes, registered under the customers name",yes,bad
297,no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/ no savings account,NA,1,NA,NA,NA,"car or other, not in attribute Savings account/bonds",NA,none,rent,NA,NA,1,NA,yes,good
298,no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/ life insurance,45,NA,own,1,unskilled - resident,1,none,no,good
299,no checking account,18,existing credits paid back duly till now,furniture/equipment,NA,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,NA,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",yes,good
300,NA,21,critical account/ other credits existing (not at this bank),furniture/equipment,2745,... >= 1000 DM,NA,3,male : single,NA,2,"car or other, not in attribute Savings account/bonds",32,none,own,2,unskilled - residentskilled employee / official,1,"yes, registered under the customers name",NA,good
301,no checking account,6,existing credits paid back duly till now,car (new),672,NA,unemployed,1,female : divorced/separated/married,none,4,real estate,54,NA,own,1,OTHER,1,"yes, registered under the customers name",yes,good
302,0 <= ... < 200 DM,36,no credits taken/ all credits paid back duly,radio/television,3804,... < 100 DM,NA,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",NA,none,own,1,NA,NA,NA,yes,bad
303,NA,NA,NA,NA,1344,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,2,NA,37,bank,own,2,unskilled - resident,NA,NA,yes,bad
304,NA,NA,critical account/ other credits existing (not at this bank),car (new),1038,... < 100 DM,4 <= ... < 7 years,4,NA,co-applicant,NA,NA,49,none,own,2,unskilled - residentskilled employee / official,1,NA,yes,good
305,NA,48,critical account/ other credits existing (not at this bank),car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,NA,NA,2,unknown / no property,44,bank,for free,1,unskilled - residentskilled employee / official,1,none,yes,bad
306,no checking account,6,existing credits paid back duly till now,furniture/equipment,1543,... >= 1000 DM,1 <= ... < 4 years,NA,female : divorced/separated/married,none,2,NA,33,none,own,1,unskilled - residentskilled employee / official,1,none,yes,good
307,no checking account,NA,existing credits paid back duly till now,car (used),4811,unknown/ no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,stores,NA,1,NA,1,none,yes,good
308,NA,12,existing credits paid back duly till now,radio/television,727,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown / no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,bad
309,0 <= ... < 200 DM,8,NA,furniture/equipment,1237,NA,1 <= ... < 4 years,NA,female : divorced/separated/married,NA,4,real estate,24,none,own,1,NA,1,none,yes,bad
310,0 <= ... < 200 DM,9,existing credits paid back duly till now,NA,276,... < 100 DM,NA,4,male : married/widowed,none,4,real estate,22,NA,NA,1,NA,1,NA,yes,good
311,0 <= ... < 200 DM,48,existing credits paid back duly till now,OTHER,5381,unknown/ no savings account,NA,3,male : single,none,NA,NA,NA,NA,for free,1,OTHER,1,"yes, registered under the customers name",yes,good
312,no checking account,24,existing credits paid back duly till now,furniture/equipment,NA,100 <= ... < 500 DM,1 <= ... < 4 years,NA,male : single,NA,NA,"car or other, not in attribute Savings account/bonds",25,stores,own,NA,unskilled - residentskilled employee / official,1,none,yes,good
313,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,furniture/equipment,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,NA,4,"car or other, not in attribute Savings account/bonds",26,none,own,NA,unskilled - residentskilled employee / official,1,NA,yes,good
314,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,NA,male : married/widowed,NA,3,"car or other, not in attribute Savings account/bonds",NA,bank,own,1,unskilled - resident,1,none,yes,bad
315,... >= 200 DM / salary assignments for at least 1 year,4,existing credits paid back duly till now,car (new),1494,NA,... < 1 year,1,male : single,none,2,NA,29,none,own,NA,unskilled - resident,2,none,no,good
316,... < 0 DM,NA,all credits at this bank paid back duly,furniture/equipment,2746,... < 100 DM,... >= 7 years,4,male : single,none,4,NA,31,NA,own,1,unskilled - residentskilled employee / official,1,none,yes,bad
317,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,708,... < 100 DM,1 <= ... < 4 years,NA,male : single,NA,3,NA,NA,none,own,1,unskilled - resident,2,none,yes,good
318,0 <= ... < 200 DM,24,NA,furniture/equipment,4351,unknown/ no savings account,NA,1,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,good
319,no checking account,12,critical account/ other credits existing (not at this bank),education,701,NA,1 <= ... < 4 years,4,NA,none,2,NA,NA,none,own,2,unskilled - residentskilled employee / official,1,none,yes,good
320,NA,15,delay in paying off in the past,furniture/equipment,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,NA,building society savings agreement/ life insurance,27,none,own,NA,unskilled - resident,1,none,yes,good
321,0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),4249,NA,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",NA,none,own,NA,NA,1,none,yes,bad
322,... < 0 DM,24,existing credits paid back duly till now,radio/television,1938,... < 100 DM,... < 1 year,4,female : divorced/separated/married,NA,3,building society savings agreement/ life insurance,32,none,NA,1,unskilled - residentskilled employee / official,1,none,yes,bad
323,... < 0 DM,24,existing credits paid back duly till now,NA,2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,NA,34,NA,for free,1,OTHER,1,"yes, registered under the customers name",yes,good
324,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,NA,28,NA,own,NA,unskilled - residentskilled employee / official,1,NA,yes,good
325,no checking account,18,NA,NA,NA,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,NA,own,2,unskilled - residentskilled employee / official,1,none,yes,good
